序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,x56-麦角硫因 ,科伦药业(002422.SZ，股价34.14元，市值545.58亿元)董事长刘革新在科伦集团官方视频号发布的一则广告中赤膊上阵，展示健硕肌肉，为公司旗下抗衰老产品“麦角硫因胶囊”代言。广告中，75岁的刘革新肌肉线条分明，配以“刘先生75岁--'没有不可能!””的广告词，迅速在社交媒体引发热议，相关话题一度冲上微博热搜。据界面新闻报道，经记者核实，该视频中出现的男子确为科伦药业董事长刘革新。,,,,,,,,,,ABCDEFGH,x56-麦角硫因
2,麦角硫因分为：,原料，产品，代工，食用菌,,,,,,,,,,ABCDEFGH,x56-麦角硫因
3,川宁生物,原料,新疆-伊利,A股进度第一，麦角硫因的原料产品已经销售,,,,,,,,ABCDEFGH,x56-麦角硫因
4,科伦药业,原料,四川-成都,A股进度第二，,,,,,,,,ABCDEFGH,x56-麦角硫因
5,华东医药,原料,浙江-杭州,A股进度第三，,,,,,,,,ABCDEFGH,x56-麦角硫因
6,华熙生物-688,原料,山东-济南,A股进度第四，公司已在麦角硫因产品上取得进展,,,,,,,,ABCDEFGH,x56-麦角硫因
7,洁雅股份-300,原料,安徽-铜陵,公司与高校合作共同研发麦角硫因技术,,,,,,,,ABCDEFGH,x56-麦角硫因
8,嘉必优-300,原料,湖北-武汉,,,,,,,,,ABCDEFGH,x56-麦角硫因
9,仙乐健康-300,原料,广东-汕头,,,,,,,,,ABCDEFGH,x56-麦角硫因
10,拓新药业-300,原料,河南-新乡,公司储备生产麦角硫因的核心技术,,,,,,,,ABCDEFGH,x56-麦角硫因
11,蓝晓科技-300,原料,陕西-西安,公司为麦角硫因应用提供完整分离技术支持,,,,,,,,ABCDEFGH,x56-麦角硫因
12,珀莱雅,产品,浙江-杭州,公司产品双抗精华 包含 麦角硫因,,,,,,,,ABCDEFGH,x56-麦角硫因
13,福瑞达,产品,淄博,产品包含麦角硫因,,,,,,,,ABCDEFGH,x56-麦角硫因
14,丽人丽妆,产品,上海,,,,,,,,,ABCDEFGH,x56-麦角硫因
15,金达威,产品,福建-厦门,公司计划推出新产品麦角硫因为原料的保健品,,,,,,,,ABCDEFGH,x56-麦角硫因
16,若羽臣,产品,广东-广州,公司四大单品小蓝瓶、小紫瓶、小金瓶核心成分麦角硫因,,,,,,,,ABCDEFGH,x56-麦角硫因
17,仙乐健康-300,代工,广东-汕头,保健品代工市占率A股第一,,,,,,,,ABCDEFGH,x56-麦角硫因
18,百合股份,代工,山东-威海,保健品代工市占率A股第2,,,,,,,,ABCDEFGH,x56-麦角硫因
19,麦角硫因含量最高的为黑松露，,食用菌,,麦角硫因是天然抗氧化剂，人体无法自主合成，需通过食物摄取，主要存在于菌类中，含量最高的为黑松露，其次是松茸、鸡油菌、香菇等，其他来源包括动物内脏(猪肝)、肉类及谷物(燕麦)，日常可通过食用蘑菇补充。,,,,,,,,ABCDEFGH,x56-麦角硫因
20,雪榕生物,食用菌,上海,食用菌产能第1，,,,,,,,,ABCDEFGH,x56-麦角硫因
21,众兴菌业,食用菌,甘肃-天水,食用菌产能第2，,,,,,,,,ABCDEFGH,x56-麦角硫因
22,华绿生物-300,食用菌,江苏-宿迁,食用菌产能第3，,,,,,,,,ABCDEFGH,x56-麦角硫因
23,博闻科技,食用菌,云南-保山,食用菌产能第4，,,,,,,,,ABCDEFGH,x56-麦角硫因
24,万辰集团-300,食用菌,福建-漳州,食用菌产能第5，,,,,,,,,ABCDEFGH,x56-麦角硫因
25,交大昂立,食用菌,上海,公司主要研发可食用菌种,,,,,,,,ABCDEFGH,x56-麦角硫因
