序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,存储芯片分为：,部件，产品，业务相关，服务,,,,,,,,,,ABCDEFGH,x109-存储芯片
2,华海诚科-688,部件-封装材料,江苏-连云港市,,,,,,,,,ABCDEFGH,x109-存储芯片
3,上海新阳,部件-封装材料,,,,,,,,,,ABCDEFGH,x109-存储芯片
4,艾森股份,部件-封装材料,,,,,,,,,,ABCDEFGH,x109-存储芯片
5,创益通-300,部件-连接器,深圳,,,,,,,,,ABCDEFGH,x109-存储芯片
6,兴森科技,部件-载板,,,,,,,,,,ABCDEFGH,x109-存储芯片
7,深南电路,部件-载板,,,,,,,,,,ABCDEFGH,x109-存储芯片
8,养元饮品,存储芯片两大巨头-长江存储,衡水,,,,,,,,,ABCDEFGH,x109-存储芯片
9,国脉文化,存储芯片两大巨头-长江存储,,,,,,,,,,ABCDEFGH,x109-存储芯片
10,南方传媒,存储芯片两大巨头-长江存储,,,,,,,,,,ABCDEFGH,x109-存储芯片
11,当虹科技,存储芯片两大巨头-长江存储,,,,,,,,,,ABCDEFGH,x109-存储芯片
12,市北高新,存储芯片两大巨头-长江存储,,,,,,,,,,ABCDEFGH,x109-存储芯片
13,东方明珠,存储芯片两大巨头-长江存储,,,,,,,,,,ABCDEFGH,x109-存储芯片
14,祥龙电业,存储芯片两大巨头-长江存储,,,,,,,,,,ABCDEFGH,x109-存储芯片
15,兆易创新,存储芯片两大巨头-长鑫存储,存储芯片两大巨头-长鑫存储,,,,,,,,,ABCDEFGH,x109-存储芯片
16,上峰水泥,存储芯片两大巨头-长鑫存储,,,,,,,,,,ABCDEFGH,x109-存储芯片
17,朗迪集团,存储芯片两大巨头-长鑫存储,,,,,,,,,,ABCDEFGH,x109-存储芯片
18,中山公用,存储芯片两大巨头-长鑫存储,,,,,,,,,,ABCDEFGH,x109-存储芯片
19,杭钢股份,存储芯片两大巨头-长鑫存储,,,,,,,,,,ABCDEFGH,x109-存储芯片
20,巨化股份,存储芯片两大巨头-长鑫存储,,,,,,,,,,ABCDEFGH,x109-存储芯片
