序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1.0,电力运营主要分为：,火电，水电，风电，光伏,核电，供热，热点,虚拟电厂,虚拟电厂 [1]是一种通过先进信息通信技术和软件系统，实现DG、储能系统、可控负荷、电动汽车等DER的聚合和协调优化，以作为一个特殊电厂参与电力市场和电网运行的电源协调管理系统,,,,,,,ABCDEFGH,f1-电力运营
2.0,火电 装机量前5 ,华能国际,华电国际,大唐发电,浙能电力,国电电力,,,,,,ABCDEFGH,f1-电力运营
3.0,华能国际,火电 装机量前5 ,北京,火电装机量第一，装电量106GW,,,,,,,,ABCDEFGH,f1-电力运营
4.0,华电国际,火电 装机量前5 ,山东-济南,火电装机量A股第二，装机量52.2GW,,,,,,,,ABCDEFGH,f1-电力运营
5.0,大唐发电,火电 装机量前5 ,北京,火电装机量A股第三，装机量47GW,"蒙电入苏 2026年4月28日正式启动。由大唐发电、江苏国信集团、鄂尔多斯市新能源公司共同出资100亿元设立了合资公司（大唐(鄂尔多斯市)能源开发有限公司）作为唯一的开发主体。
项目定位：这是目前国内单体规模最大的跨省特高压外送“风光储一体化”项目之一。项目选址在内蒙古鄂尔多斯库布齐沙漠，属于国家“沙戈荒”（沙漠、戈壁、荒漠）大型风光基地核心区。
规模与规划：
总投资：静态投资约581亿元，计划建设周期为2026年至2030年。
装机容量：规划总容量高达1464万千瓦，包含风电400万千瓦、光伏800万千瓦、配套煤电264万千瓦，并配有大规模的储能系统。
输电通道：配套建设±800千伏直流特高压线路，起点在内蒙古鄂尔多斯，落点位于江苏省南京市。
输送能力：建成后预计每年可向江苏输送超400亿千瓦时的清洁电力。",,,,,,,ABCDEFGH,f1-电力运营
6.0,浙能电力,火电 装机量前5 ,浙江-杭州,火电装机量A股第四，装机量33GW,,,,,,,,ABCDEFGH,f1-电力运营
7.0,国电电力,火电 装机量前5 ,辽宁-大连,火电装机量A股第五，装机量32GW,,,,,,,,ABCDEFGH,f1-电力运营
8.0,火电-央企,华能国际,华电国际，华电辽能,大唐发电,国电电力，长源电力，龙源电力，(3家属于国家能源投资集团旗下),上海电力，国投电力,,,,,,ABCDEFGH,f1-电力运营
9.0,华能国际,火电-央企,北京,中国华能集团，火电装机量106GW,,,,,,,,ABCDEFGH,f1-电力运营
10.0,华电国际,火电-央企,济南,中国华电集团，火电装机量52GW,,,,,,,,ABCDEFGH,f1-电力运营
11.0,华电辽能,火电-央企,辽宁-沈阳,中国华店集团，火电装机量5.2GW,主营：火电，,"海上风电与一体化联营：投资计划：公司拟向丹东金山热电及丹东海风公司增资228.8亿元，建设热电联产与海上风电一体化联营项目13。
","绿电制氢与绿色甲醇：项目名称：辽宁华电调兵山风电制氢耦合10万吨绿色甲醇一体化项目。
项目内容：总投资约39.45亿元，配套建设450兆瓦风电场、制氢储氢装置及储能电站。建成后将年产绿氢1.9万吨、绿色甲醇10万吨",,,,,ABCDEFGH,f1-电力运营
12.0,大唐发电,火电-央企,北京,中国大唐集团，火电装机量47GW,,,,,,,,ABCDEFGH,f1-电力运营
13.0,国电电力,火电-央企,辽宁-大连,国家能源投资集团，火电装机量32GW,,,,,,,,ABCDEFGH,f1-电力运营
14.0,龙源电力,火电-央企,北京,国家能源投资集团，火电装机量5.2GW,,,,,,,,ABCDEFGH,f1-电力运营
